track_name,artist_name,album_name,track_id,preview_url,popularity,release_date,song_url,genres,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Koi Ladki Hai,Uttam Singh,Dil To Pagal Hai,1U07iG4qnbKP8ui3VidZN4,https://p.scdn.co/mp3-preview/7e88cdfef7c6486e28c9c7b8d323206cc0124a43?cid=20390ab532e3448ea3f81b92357edf65,55,1997-08-27,https://open.spotify.com/track/1U07iG4qnbKP8ui3VidZN4,"['classic bollywood', 'filmi', 'modern bollywood']",0.619,0.805,330684,0.594,1.55e-05,2,0.215,-10.846,1,0.0927,110.425,4,0.694
Koi Mil Gaya,Kavita Krishnamurthy,Kuch Kuch Hota Hai,5L9fLNHSj5SuGvJRljdWJb,https://p.scdn.co/mp3-preview/2fae1d6e0e7a0c6ffdeb22472b8df6ddc9cef296?cid=20390ab532e3448ea3f81b92357edf65,66,1998-08-13,https://open.spotify.com/track/5L9fLNHSj5SuGvJRljdWJb,['filmi'],0.503,0.7,437693,0.687,1.2e-05,2,0.057,-9.292,1,0.0504,136.028,4,0.815
"Koi Mil Gaya (From ""Kuch Kuch Hota Hai"")",Jatin-Lalit,Rani Mukherjee: Bollywood Darling,6QHVo0zBjuAFXhPOMUKUKq,https://p.scdn.co/mp3-preview/359bda651636b6d61ee32abf4f79725423ef902b?cid=20390ab532e3448ea3f81b92357edf65,34,2006-06-08,https://open.spotify.com/track/6QHVo0zBjuAFXhPOMUKUKq,"['afghan pop', 'chutney', 'classic bollywood', 'filmi']",0.503,0.7,437693,0.687,1.2e-05,2,0.057,-9.292,1,0.0504,136.027,4,0.815
Koi Patthar Se Na Maare,Salim–Sulaiman,Aaja Nachle,4oDBSP8ZIziTDqtLWTC1W2,https://p.scdn.co/mp3-preview/d036160c512d1bde0926d8c64b2d26c7840977ca?cid=20390ab532e3448ea3f81b92357edf65,30,2007-10-18,https://open.spotify.com/track/4oDBSP8ZIziTDqtLWTC1W2,"['filmi', 'indian folk', 'modern bollywood']",0.744,0.618,244219,0.487,7.3e-06,5,0.11,-9.593,1,0.0459,80.037,4,0.56
Koi Pyar Ki Dekhe Jadugari,Mohammed Rafi,Kohinoor (Original Motion Picture Soundtrack),2W9aR6B4L9Im1RfoBGTn1k,https://p.scdn.co/mp3-preview/53fe10d2151ee1a98da534cf18c2ed8df66c4eb5?cid=20390ab532e3448ea3f81b92357edf65,4,1960-11-04,https://open.spotify.com/track/2W9aR6B4L9Im1RfoBGTn1k,"['classic bollywood', 'filmi']",0.992,0.429,203792,0.326,0.016,9,0.167,-12.849,1,0.0316,75.799,3,0.87
Koi Sehri Babu,Shruti Rane,Koi Sehri Babu - Single,7l1KhSsLVMtWlt8xyQ7fqZ,https://p.scdn.co/mp3-preview/3041326eb0b60fcdc3ebb3151bba85cd824ded5b?cid=20390ab532e3448ea3f81b92357edf65,40,2021-11-19,https://open.spotify.com/track/7l1KhSsLVMtWlt8xyQ7fqZ,[],0.526,0.641,175729,0.567,2.69e-06,0,0.352,-8.459,1,0.0441,93.824,4,0.409
Koi Yeh Kaise Bataye,Jagjit Singh,"Jagjit Chitra, Vol. 1 & 2",2X49phStjrdmHbO4DzW6dZ,https://p.scdn.co/mp3-preview/d61c084c1b07203baf77edbfa6643ba3ba986633?cid=20390ab532e3448ea3f81b92357edf65,31,1982-01-01,https://open.spotify.com/track/2X49phStjrdmHbO4DzW6dZ,"['filmi', 'ghazal', 'hare krishna', 'sufi']",0.932,0.503,197410,0.222,0.801,7,0.121,-17.658,0,0.0348,124.621,3,0.343
Kore Kore Sapne,Kumar Sanu,Sooryavansham (Original Motion Picture Soundtrack),3FNA9QB9bvgQeQQOGIOhtu,https://p.scdn.co/mp3-preview/122177e4af0f92712ac6d629e48928c2952d8081?cid=20390ab532e3448ea3f81b92357edf65,45,2001-05-10,https://open.spotify.com/track/3FNA9QB9bvgQeQQOGIOhtu,"['filmi', 'modern bollywood']",0.133,0.636,312520,0.578,2.24e-05,6,0.0329,-12.946,0,0.0372,81.961,4,0.811
Kshamapna,SRMD Bhakti,Ajnabhakti,5QFxwXHxKdLXYVwziOoPHL,https://p.scdn.co/mp3-preview/f76ab290392093cf34f03c7d5f7b88fb8a98f422?cid=20390ab532e3448ea3f81b92357edf65,25,2021-02-06,https://open.spotify.com/track/5QFxwXHxKdLXYVwziOoPHL,[],0.762,0.703,123089,0.269,0,7,0.238,-11.591,1,0.264,104.47,5,0.494
Koyal Si Teri Boli,Anuradha Paudwal,Beta,7HjTSwnmkm6Q93H6MlTLB5,https://p.scdn.co/mp3-preview/35add0142a9e7bf3836ebf8d4d6d965cad6ceb1c?cid=20390ab532e3448ea3f81b92357edf65,53,1991-11-28,https://open.spotify.com/track/7HjTSwnmkm6Q93H6MlTLB5,"['bhajan', 'filmi', 'ghazal', 'hare krishna']",0.799,0.687,338840,0.45,1.37e-05,0,0.411,-10.871,0,0.128,76.17,4,0.934
